location_id,region,latitude,longitude,building_type,tiv,deductible,policy_limit
LOC-00001,Houston (Flood/Wind),29.21017,-94.85437,Wood,80999.12,8099.91,80999.12
LOC-00002,Houston (Flood/Wind),31.90206,-95.09076,Wood,737126.86,36856.34,884552.23
LOC-00003,Los Angeles (Quake),34.33191,-118.10211,Concrete,274366.98,27436.7,274366.98
LOC-00004,Houston (Flood/Wind),29.33261,-93.90415,Concrete,214105.4,21410.54,214105.4
LOC-00005,Miami (Hurricane),25.85948,-80.60415,Concrete,147172.6,14717.26,147172.6
LOC-00006,Houston (Flood/Wind),29.46871,-94.23957,Concrete,389694.71,7793.89,389694.71
LOC-00007,Los Angeles (Quake),32.53406,-116.93331,Wood,71097.96,7109.8,71097.96
LOC-00008,Los Angeles (Quake),34.28843,-120.8577,Masonry,94476.23,9447.62,94476.23
LOC-00009,Miami (Hurricane),25.97249,-78.87838,Wood,295497.74,5909.95,236398.19
LOC-00010,Miami (Hurricane),26.09698,-79.7261,Wood,651966.5,13039.33,651966.5
LOC-00011,Miami (Hurricane),25.93097,-79.71416,Masonry,226793.44,4535.87,272152.12
LOC-00012,Houston (Flood/Wind),30.92517,-96.94396,Wood,507855.86,50785.59,609427.03
LOC-00013,Houston (Flood/Wind),30.73336,-94.5742,Wood,258893.99,5177.88,258893.99
LOC-00014,Los Angeles (Quake),35.92977,-119.90056,Steel,202641.5,4052.83,202641.5
LOC-00015,Miami (Hurricane),26.48453,-80.1766,Concrete,1176311.25,23526.23,1176311.25
LOC-00016,Houston (Flood/Wind),29.24213,-94.86835,Steel,854427.26,42721.36,854427.26
LOC-00017,Los Angeles (Quake),33.65905,-119.27762,Masonry,627765.02,12555.3,627765.02
LOC-00018,Miami (Hurricane),24.71264,-82.31594,Concrete,379085.84,37908.58,379085.84
LOC-00019,Houston (Flood/Wind),29.27728,-95.93963,Wood,138311.23,6915.56,138311.23
LOC-00020,Los Angeles (Quake),33.87643,-116.93963,Concrete,733062.97,14661.26,733062.97
LOC-00021,Miami (Hurricane),25.7102,-79.91588,Concrete,924507.16,46225.36,924507.16
LOC-00022,Miami (Hurricane),24.62052,-79.91994,Concrete,266364.21,26636.42,266364.21
